FileName;Group;Experimental;Cell.type;ShortName
GSM3931536.CEL;N.C;Control;Naive;N.C.1
GSM3931537.CEL;N.C;Control;Naive;N.C.2
GSM3931538.CEL;N.C;Control;Naive;N.C.3
GSM3931539.CEL;N.C;Control;Naive;N.C.4
GSM3931540.CEL;N.SP3;SP3;Naive;N.SP3.1
GSM3931541.CEL;N.SP3;SP3;Naive;N.SP3.2
GSM3931542.CEL;N.SP3;SP3;Naive;N.SP3.3
GSM3931543.CEL;N.SP3;SP3;Naive;N.SP3.4
GSM3931544.CEL;E.C;Control;Experienced;E.C.1
GSM3931545.CEL;E.C;Control;Experienced;E.C.2
GSM3931546.CEL;E.C;Control;Experienced;E.C.3
GSM3931547.CEL;E.C;Control;Experienced;E.C.4
GSM3931548.CEL;E.SP3;SP3;Experienced;E.SP3.1
GSM3931549.CEL;E.SP3;SP3;Experienced;E.SP3.2
GSM3931550.CEL;E.SP3;SP3;Experienced;E.SP3.3
GSM3931551.CEL;E.SP3;SP3;Experienced;E.SP3.4
