"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69278","Cell Cycle, Mitotic","122/1394","499/8772",2.31188416668366e-07,0.000232344358751708,0.000204905944036594,"Cdkn1b/Dna2/Cdc25b/Pds5b/Numa1/Optn/Vrk1/Sdccag8/Mad1l1/Rbl1/Pole2/Ccnd3/Cep192/Ncapd2/Rfc1/Lpin1/Nup133/Ncapd3/Clip1/Ppp1r12b/Phlda1/Pole/Nup210/Zw10/Mcm7/Gmnn/Ncapg2/Cdc23/Rfc4/Tubgcp6/Cdk5rap2/Rb1/Anapc1/Ndc80/Kif23/Jak2/Ccnd2/Pola1/Cep78/Psmb6/Cenpo/Haus5/Akap9/Ppp2r5a/Rbl2/Esco2/Tubb2a/Ccnd1/Haus4/E2f2/H2afv/Rpa1/Aaas/Nde1/Espl1/Cdk2/Clasp1/Pold1/Ncaph/Prkca/H2ac4/E2f1/Cep152/H2ac6/Tuba1c/Rfc2/Ppp2r5b/Skp2/Ndc1/Cenpn/Psmd3/Psme2/H4c8/Tpx2/Vrk2/Psmd12/Cep250/Nup155/Alms1/Mcm6/Prim1/Cdc25a/Clasp2/Cep290/Gins4/Mcm5/Nup35/Nipbl/Aurkb/Hdac8/Prim2/Pcnt/Smc3/Nup43/Haus6/Nup107/Mcph1/Mcm8/Lig1/H2bc4/Cdkn1a/H3f3b/H2bc21/Cenpe/Psmb9/Gins1/Psmd8/Tuba1a/Ccna2/H2bc7/Cdc6/Cenpt/H4c9/Bub3/Kif18a/Xpo1/Tubgcp5/Psmd10/H3f3a/Ckap5/Pkmyt1/Orc5",122
"R-MMU-1483255","PI Metabolism","29/1394","74/8772",1.08141607711956e-06,0.000543411578752579,0.000479238072070879,"Tnfaip8l2/Pik3r5/Pip5k1a/Pik3cd/Mtmr14/Pnpla6/Bmx/Mtmr4/Inppl1/Pikfyve/Mtmr3/Gde1/Pip4k2a/Inpp5k/Inpp5d/Pi4k2a/Inpp5e/Vac14/Fig4/Inpp4a/Plekha2/Sacm1l/Inpp5f/Pik3c3/Pik3r4/Mtm1/Plekha5/Pik3r2/Ocrl",29
"R-MMU-1660516","Synthesis of PIPs at the early endosome membrane","10/1394","15/8772",1.38591200287668e-05,0.00464280520963689,0.00409451896990235,"Mtmr4/Pikfyve/Pi4k2a/Vac14/Fig4/Inpp4a/Inpp5f/Pik3c3/Pik3r4/Mtm1",10
"R-MMU-174417","Telomere C-strand (Lagging Strand) Synthesis","12/1394","22/8772",3.36504479497814e-05,0.00676374003790606,0.00596498466815072,"Dna2/Pole2/Rfc1/Pole/Rfc4/Pola1/Rpa1/Pold1/Rfc2/Prim1/Prim2/Lig1",12
"R-MMU-69190","DNA strand elongation","12/1394","22/8772",3.36504479497814e-05,0.00676374003790606,0.00596498466815072,"Dna2/Rfc1/Rfc4/Pola1/Rpa1/Pold1/Rfc2/Prim1/Gins4/Prim2/Lig1/Gins1",12
"R-MMU-69242","S Phase","41/1394","142/8772",6.01189966850517e-05,0.0100699319447462,0.00888073600154624,"Cdkn1b/Dna2/Cdc25b/Pds5b/Pole2/Rfc1/Pole/Mcm7/Cdc23/Rfc4/Rb1/Anapc1/Pola1/Psmb6/Esco2/Ccnd1/Rpa1/Cdk2/Pold1/Rfc2/Skp2/Psmd3/Psme2/Psmd12/Mcm6/Prim1/Cdc25a/Gins4/Mcm5/Prim2/Smc3/Mcm8/Lig1/Cdkn1a/Psmb9/Gins1/Psmd8/Ccna2/Cdc6/Psmd10/Orc5",41
"R-MMU-68962","Activation of the pre-replicative complex","14/1394","30/8772",7.18256175892389e-05,0.0103121065253122,0.00909431127972017,"Pole2/Pole/Mcm7/Gmnn/Pola1/Rpa1/Cdk2/Mcm6/Prim1/Mcm5/Prim2/Mcm8/Cdc6/Orc5",14
"R-MMU-180786","Extension of Telomeres","12/1394","24/8772",0.000103094387169338,0.0129512323881481,0.0114217728942872,"Dna2/Pole2/Rfc1/Pole/Rfc4/Pola1/Rpa1/Pold1/Rfc2/Prim1/Prim2/Lig1",12
"R-MMU-69186","Lagging Strand Synthesis","10/1394","18/8772",0.000127374908028645,0.0141505729823876,0.0124794788700397,"Dna2/Rfc1/Rfc4/Pola1/Rpa1/Pold1/Rfc2/Prim1/Prim2/Lig1",10
"R-MMU-168898","Toll-like Receptor Cascades","38/1394","133/8772",0.000140801721217787,0.0141505729823876,0.0124794788700397,"Nfkb1/Nfkb2/Nfkbia/Traf3/Nfkbib/Map3k8/Tank/Dusp7/Rela/Plcg2/Mapkapk2/Peli2/Tlr2/Mapk14/Cd180/Irak4/Map2k3/Tbk1/Rps6ka1/Cnpy3/Irak2/Ticam2/Birc3/Tlr8/Ctsk/S100a8/Pik3c3/Cd14/Ptpn4/Myd88/Pik3r4/Tlr7/Tlr4/Fos/Ecsit/Rps6ka2/Ikbke/Mapk9",38
