"","N.C.1","N.C.2","N.C.3","N.C.4","N.SP3.1","N.SP3.2","N.SP3.3","N.SP3.4","E.C.1","E.C.2","E.C.3","E.C.4","E.SP3.1","E.SP3.2","E.SP3.3","E.SP3.4"
"Wfdc17",4.99868273342536,5.93928021573812,6.04172043390668,6.25228627934287,7.17436143555743,6.44008817447655,7.14599426963263,7.913576967702,6.38955365163635,6.54359409517174,5.62980675017904,6.46364266058121,6.44620241069545,7.34952519876813,8.63835044895867,8.16861409948827
"Isg15",3.82052029391942,3.83885798975614,2.89891861924478,3.50442581416459,5.80655854824775,4.69241353744922,5.56769415567091,6.55052291011645,3.39759810826455,3.92554969991986,3.06058179063996,2.96780127923855,4.17570822509511,6.64454250066672,6.46613170855737,6.38073083084274
"Gm3325",1.67318839144409,2.10778624041409,2.72337755112616,2.700496968092,0.943790290053018,1.48675713418277,1.144150273404,1.30561771348992,1.74562808656635,1.35926854266768,1.46990558131804,2.22034469284378,0.97419503728587,1.4327109949727,1.08438013074298,1.03830785996551
"Ly6c2",5.3411269937628,6.22805757191151,3.77127951075291,5.09668675328544,5.52641946433074,4.45399145882378,2.29291486755483,2.28063144158757,2.81433453265745,4.55555215991208,4.13386980386449,3.19027553836456,4.48177548277328,3.05097508644531,3.38055173943849,3.26235619775449
"Gm10584",1.53574391200243,2.01409381937311,1.56562106591689,1.53090381933695,2.4341172218345,2.41505594247701,3.17460148546029,2.75339768965076,1.73439015474881,1.5010266654225,1.90883454842097,1.50073665834681,2.58878401659489,1.85387607296345,2.05750128725449,2.36701742740776
"Srp54c",5.81615557730553,6.38726968637458,6.37856335712091,6.14878075785106,6.92789425024165,7.14410833483539,7.19989676377463,7.3971070570676,6.28508479000108,6.24303842428154,4.76225455171384,6.23901452148792,6.69647271055035,6.89843562797404,7.09627720088398,7.33655332702209
"Phtf1os",2.59530605992014,2.73164488292584,3.20686113738895,2.67041629609321,3.30008841098677,3.76228985456639,3.67374134794473,4.42205479529726,3.27659613988512,3.17178594966904,2.00431637065891,3.18417155188697,4.1293629264908,3.88674609339675,4.61393913270868,4.90183679932797
"Snord1b",3.00413522400914,2.0409773872211,2.5794793879409,3.15636019342426,3.65219375684586,2.775365957751,1.570451436315,1.83133368923684,2.79554637867842,3.54926970017367,2.70170404933829,2.2690409117047,1.95068312853559,1.42156946974416,1.55138060604604,1.38991263790027
"Snora30",4.87094365965515,5.96626178852947,3.62147667120325,5.58494790074134,5.37005639137423,2.10331051384288,2.7456262245589,2.92778455361399,2.51281825263948,3.94359096565908,6.70147780266797,4.66979658125644,2.27502459266121,3.12726083113884,3.71098223809721,3.69044047014743
"Snord110",4.99286220123466,4.96780936579862,5.04423733891706,5.86015335001349,5.60202800241398,4.54469333728484,4.76372141292482,4.80098795536907,4.91351893689408,5.54686500353338,6.99207060597965,5.4407827229136,4.52073531391493,4.58255797534974,5.13881616355541,3.71564118567241
