"","N.C.1","N.C.2","N.C.3","N.C.4","N.SP3.1","N.SP3.2","N.SP3.3","N.SP3.4","E.C.1","E.C.2","E.C.3","E.C.4","E.SP3.1","E.SP3.2","E.SP3.3","E.SP3.4"
"17431350",6.36022681375009,6.23530118649,6.44531941193141,6.02948916516679,5.72892726477567,6.30444868616054,5.75182330602493,5.91125709543989,6.71443788377158,6.61379935306416,5.60988079637047,6.53311742320477,6.69368780056928,5.97030203933352,5.69953183366846,5.82421957449871
"17219670",1.32226829733712,1.38959954854393,0.764860119005386,0.943366552689018,0.760901745578878,0.883856784757803,0.538415380086995,0.469510280134221,0.943366552689018,1.46821932199993,0.798769549500937,0.740975415805065,1.33830755705708,1.48767175283165,0.848453066743015,0.984192935577535
"17254289",4.99868273342536,5.93928021573812,6.04172043390668,6.25228627934287,7.17436143555743,6.44008817447655,7.14599426963263,7.913576967702,6.38955365163635,6.54359409517174,5.62980675017904,6.46364266058121,6.44620241069545,7.34952519876813,8.63835044895867,8.16861409948827
"17455986",2.54485473394389,2.86736867052573,2.58013688427331,2.61815526416719,2.10892290742181,2.2249613963589,2.47790968027953,2.36270865462594,2.76949531877424,3.1578475127338,2.50989200401777,2.79026695665694,2.09810699402074,2.13426257297975,2.15670870296497,2.54485473394389
"17271237",4.47993538418987,4.39848772004345,4.91119489395911,4.75823744354225,4.9636479916313,5.11014343402712,5.20855371437412,5.10768331083223,4.92292820749049,4.22057234600828,3.98369089053191,4.49898738409201,4.94079385613482,4.8081526556253,4.98379882273653,5.07159186118846
"17502260",2.85898890954295,2.82877015121847,2.61345092077633,3.01718803518041,3.12955430514693,2.52065081061418,2.76085058777341,3.16257446105732,2.84011033388029,3.02666659640618,2.7557667385279,2.46475110615507,2.49954222996708,2.92584030233935,2.85660869391271,3.06326712659853
"17527923",3.21374765061877,2.54856534398734,2.36798988546336,2.77705321612184,3.19158503409216,3.20067520857709,3.56724596688623,3.4009764504799,2.81271398370604,2.69451462230018,3.28417293285278,2.59394689302757,3.26538183976957,3.55166448944942,3.62204087418113,3.52411279211782
"17476599",2.0206647871776,2.07284773615394,1.74894548138771,2.30207844844624,2.43966459434706,2.39245184311249,2.12575718194094,1.67380133673421,2.26502127239516,1.73327453254245,2.31261261734453,1.94379518020392,1.77741188264776,2.11905913505325,2.01012040267721,2.14765760928901
"17326834",1.88453297442218,2.89947080082976,2.43803561472319,2.48709046873093,1.88310533112158,2.39140702928471,2.3551780622548,1.80000222581208,2.08564003292596,2.1101193313739,2.05891831007534,2.56897262842575,2.46295183024762,1.86285430813578,1.90128623344697,2.30016505218129
"17240819",1.88160724780394,2.14127592419595,1.33862952798387,1.84033466283234,1.5300160036415,1.347566087555,1.4941970202251,1.42599936772511,2.293929381645,2.51767737430506,1.89816639120454,2.24622172804829,3.17700812763227,2.70404440660786,2.12771147922809,2.02242026094243
"17522280",1.67891742698495,1.41368394977671,1.70598384284767,1.83106643698161,1.68118880870419,2.06273138185244,2.39820176215831,2.60856473207363,1.60364637905198,1.74863416264955,1.53426935702981,1.8261916422282,1.76194654747821,2.2159603530906,2.66477918138646,2.99659829067242
"17348069",2.59927868031731,3.00482002667633,3.14563224673445,3.11467923990254,2.62685057367962,2.80493307086799,2.74590846705548,2.91797951713194,2.31732100676351,2.6362109791703,2.38472448941945,3.1747466011858,2.64402835253329,3.28609691616809,3.36594807116083,2.54959958628153
"17300181",1.04633584979184,1.39397026078213,1.16083284574968,0.958885354315683,1.61495301137765,1.01117505128491,0.825521131581481,1.61590448727373,0.751228789750244,1.19395123027162,0.667356629828478,0.962581772408302,1.4456895705809,1.59472878987098,1.29094748434171,1.03019851299143
"17330162",2.66722201529488,2.58137529625763,1.56765699187892,2.72587125329587,3.24597479134938,3.3614412559308,2.33147257267499,2.44783332598357,1.9737966858918,1.89003810115132,3.21857516949191,1.97718740521212,2.69130823157354,2.87862194778751,2.65595147416857,2.4098050871702
"17434023",3.82052029391942,3.83885798975614,2.89891861924478,3.50442581416459,5.80655854824775,4.69241353744922,5.56769415567091,6.55052291011645,3.39759810826455,3.92554969991986,3.06058179063996,2.96780127923855,4.17570822509511,6.64454250066672,6.46613170855737,6.38073083084274
"17277666",2.31005390400571,3.29930896877644,2.13463540880858,2.44017224156059,2.25741439621279,2.14390002028745,2.09530406315936,3.12245722162241,2.27131923185325,2.71143483351675,3.42564080691313,2.90096231559392,2.32116144459487,3.09885600987866,2.69951898052467,2.85813191951606
"17277679",2.31410714172924,1.94197230493369,2.66488956686333,2.12501746679972,1.4935187609861,2.87565810787035,2.53418303585495,2.20416066257128,2.12318287040248,2.15693550385951,2.30703379659668,2.67154347741817,1.70430165596597,2.82888273119557,2.9307127118889,2.8768378530349
"17476946",1.63460066176346,1.32930316033407,1.38182103859608,1.16028129167356,1.37816573458585,1.60285859759386,1.42508501056842,1.35925167200372,1.745960413816,1.67972069812598,1.56008200250573,1.1729157196312,1.21620486994477,1.66196954572648,1.63019826106252,1.05345652513688
"17464248",2.52276892518323,2.87222035983838,2.37406514560968,2.64928981463127,2.89927004532813,2.21390085275691,2.69622627853724,2.31199785849513,2.14949300859391,2.13804374163884,1.85002175823213,2.36795602908548,2.43536175940421,2.68621665925384,2.45696092265469,2.53892396156284
"17221197",3.17336074854591,2.65831006646271,3.62511013680203,3.77667730854088,3.46021267387575,3.8403488400831,3.43310158716101,3.58695587272449,3.0977793530376,3.443469331705,3.32622516604316,3.59112077886436,2.92289643073342,2.82115891456514,3.37809050415789,3.47085426997093
"17529569",6.33170002407324,6.8005118674198,6.88591700481413,6.34207961940061,6.94450183104197,7.37631126748485,6.93946532200552,7.09456038077874,6.62299499526209,6.6953872996235,5.38436710989517,6.75766491210802,6.74880024037807,6.14369290814231,6.81443173979236,6.74692439538294
"17413458",3.16495946624108,3.07778272785839,3.22094987180609,2.95233343291665,3.02356256088621,3.00645040104567,3.34829897540617,3.28639054764253,2.73951183561712,2.7439835840711,3.6644684872069,2.73782635521112,2.90326505123743,2.54803778422953,3.06188621422944,2.98285850449884
"17214910",2.89086186080187,3.03874547593494,3.57566191396609,3.20449711123405,3.16505993489391,3.63726793364169,2.74524283895199,3.36583890734561,2.90889064347557,4.01634946992979,3.36431495258128,3.46251516393193,2.23004833236261,2.61485184136248,3.27855094034531,2.48072857889756
"17532242",2.61495563065006,2.49749514368998,2.46543744175886,2.74074756614564,3.45328993813567,3.35302681675761,3.40993503993651,3.82694423026278,2.58941166001956,2.13404813030653,3.14456412975084,2.65104117325269,2.73510612467715,3.15383720089735,3.46751865232741,3.43263200122476
"17419389",4.24547291832925,4.50807366482707,3.63768444827699,4.21523543256119,4.44326135865498,4.25033632367981,3.93477568002789,3.68777736164922,3.81900215558476,3.84564770445252,3.05698949015165,3.9597216583305,3.82382971719084,4.00132545752484,4.37159881068046,3.78822910850965
"17534213",2.25566295282297,3.10703813224466,2.17035245044608,2.06470987910885,2.41145103608728,2.04911170983511,2.66502813545907,2.63831556877446,2.45050311620374,1.41662621453277,2.54609425129615,2.31591920386533,2.40958172416147,2.6411225808631,1.93363462439579,2.59490508185801
"17357211",2.86404083692477,2.41124650095345,3.01425543244464,2.53012879786654,3.3023031480268,3.38928504444236,3.29505106770905,3.91667671252681,2.75606627492769,2.54934178019131,2.6585896431363,2.72319561056168,2.63649240312681,2.97426546989596,3.97334034076962,3.38982772166895
"17418724",3.03316312648242,3.34178868646145,3.97189426913801,3.23331165796937,3.09434523897336,3.06598006831122,3.41348936946188,2.89200584168406,4.01074184902096,3.62685658470713,2.52495204937656,3.69748901531903,3.26903658611443,3.21030292572426,3.30407972825044,3.65999670266386
"17424818",0.48563375176816,0.472044410099687,0.834197904424706,0.647124260828952,1.09493707913264,0.977117708683696,1.2022277532185,1.19233705966266,0.529279134279671,0.698151484908037,1.02230524383629,0.795045067432601,1.23689243606351,0.427369461148228,1.16273402283951,0.9220501267362
"17234718",2.52605513242436,1.95094800454439,2.72960312916061,1.94527293223138,2.24330567997119,3.06788087333056,2.6441964995584,2.92213661878481,2.43234283530958,2.21614835827239,2.70750221281433,2.62386165415196,2.55589670908208,2.66761021535521,2.79683815099149,2.3382238620916
"17230067",4.47108341496729,4.307237626454,3.59491484870145,4.21194246039957,4.5510314062871,3.83857943102637,4.54122682613441,5.40840290261994,4.4396303376973,4.69439523356718,4.27659795533345,4.53596028877969,4.30014078313287,5.00667853118575,5.83886441982127,5.67172855913284
"17533937",4.21143474133608,5.07454512276218,4.73292508982383,5.09021531987954,5.80760661732023,5.40109152618952,5.67257287795686,5.4912360826227,4.75009575168342,5.26805157743139,4.55940941156947,5.08548685322616,5.522392362304,5.54003656386337,5.55526844552584,5.67757453283364
"17533946",1.08632103049332,0.943078837403207,1.13240643283291,1.74902025428138,2.03961118454275,1.12568084814308,0.913574697725667,1.68194226007016,1.49568621312943,1.36073641522045,1.42435560528918,1.80894003013282,1.44538729658237,1.23154091751206,1.53870102647896,1.09956870158015
